date,crude_ret1d,crude_ret5d,gold_ret1d,gold_ret5d,copper_ret1d,copper_ret5d,dxy_ret1d,dxy_ret5d,sp500_ret1d,sp500_ret5d,copper_vol21d,cli_china,cli_usa,DFII10,USDCNY
2021-12-10,0.010237740696854125,0.07848579534554467,0.004666234090445087,0.0005049367034262175,-0.010913827542635923,0.003859878751515833,-0.0022877879327269923,-0.0007285184556184987,0.009503769118209604,0.037535518968210724,0.24422525077595073,99.22209,101.0959,-0.96,6.376500129699707
2021-12-13,-0.005316146485581541,0.02557325138715072,0.001905203055442506,0.004938586112227306,-0.0007006382375669418,-0.013229781610908153,0.002807057404996982,0.00031149763194449065,-0.009178158342793452,0.016694761315731554,0.23527918429117445,99.22209,101.0959,-0.98,6.360000133514404
2021-12-14,-0.007886219462695188,-0.01849050629250204,-0.008940945262644107,-0.006867435473877137,-0.006093297896441863,-0.019553610356493056,0.0025921524265175577,0.0020731524550958724,-0.0074987228546241624,-0.011299564725145927,0.2310029140051451,99.22209,101.0959,-0.93,6.365499973297119
2021-12-15,0.001977393068239408,-0.02080641738464628,-0.004415545712583402,-0.011731690576000098,-0.017668113917494566,-0.049365297866472035,-0.000621478764821326,0.006444957253386896,0.016216267351891744,0.0018361670401603192,0.23534162937557176,99.22209,101.0959,-0.92,6.366499900817871
2021-12-16,0.021082728611518498,0.020095496428335302,0.019105998391674817,0.012320944562334901,0.028539628694200125,-0.006836248899939168,-0.004881871168030294,-0.0023919280340640725,-0.008781863311112303,0.0002612919615714304,0.2562876836791897,99.22209,101.0959,-0.98,6.366499900817871
2021-12-17,-0.021223872138086186,-0.011366116406605009,0.003999601595126023,0.011654312067015837,-0.0022114952662113385,0.0018660833764854168,0.00550334993285162,0.00539920983151454,-0.010340964584054646,-0.01958344174069282,0.2467720729657479,99.22209,101.0959,-0.97,6.367199897766113
2021-12-20,-0.03782170802322238,-0.043871677944245846,-0.005615079468241468,0.004134029543331863,-0.0006993315504948416,0.001867390063557517,-0.00020709033609644933,0.0023850620904211084,-0.011453398323256536,-0.021858681721155904,0.24486911528930685,99.22209,101.0959,-0.96,6.374000072479248
2021-12-21,0.04148422979704236,0.005498771315491702,-0.0032387379200198296,0.00983623688595614,0.011592922396493677,0.019553610356493056,-0.0006216865896844226,-0.0008287769257808719,0.01762175538519628,0.0032617965186645392,0.23469209919465187,99.22209,101.0959,-0.96,6.374599933624268
2021-12-22,0.022797753185247238,0.026319131432499532,0.007633384981113878,0.02188516757965342,0.011801986464597292,0.049023710738584914,-0.004258157063561363,-0.004465455224520909,0.010128728029126677,-0.0028257428041005284,0.2384959576031729,99.22209,101.0959,-1.01,6.37060022354126
2021-12-23,0.014056850467597748,0.019293253288578782,0.005314436655822874,0.008093605843801477,-0.0005697162249116428,0.019914365819473145,-0.0006247286873142244,-0.00020831274380483933,0.006204412685251626,0.0121605331922634,0.23735266908849717,99.22209,101.0959,-0.97,6.369100093841553
2021-12-27,0.02383614151683311,0.06435326694349808,-0.0017130253953698826,0.002380978853305571,0.01762360718859779,0.039749468274282274,0.0007287460359135522,-0.004982916640742907,0.013744051573606697,0.036245549349924744,0.2439855510053491,99.22209,101.0959,-1.02,6.366600036621094
2021-12-28,0.0054108169469753165,0.10758579191369577,0.00116075276468397,0.00915681108623101,-0.010129535152001212,0.030319264672775903,0.0011441117706736392,-0.0036317145339728185,-0.0010106653988870562,0.046688282274294224,0.19913085313793072,99.22209,101.0959,-1.01,6.369800090789795
